rank,lemma,romanization,pos,posExpanded,gloss,example,frequency,dispersion
1,를/을/ㄹ,reul/eul/l,p.case,particle (case),OBJECT MARKER,아이들은 가게에서 아이스크림을 먹었어요. — The children had ice cream at the shop.,67583,0.95
2,가/이,ga/i,p.case,particle (case),SUBJECT MARKER,오랜만에 우리가 영화를 같이 봤군요. — It’s been a while since we’ve seen a movie together.,59290,0.86
3,는/은/ㄴ,neun/eun/n,p.sub.,subsidiary particle,TOPIC MARKER,"저는 나중에 변호사가 되고 싶습니다. — As for me, I would like to become a lawyer someday.",48881,0.95
4,ㄴ/은,n/eun,e.r.,relativizing ending,"RELATIVE, ADJECTIVAL PRESENT; VERBAL PAST",저기 다른 사람들보다 키가 큰 여자 보이세요? — Do you see the woman who is taller than the others?,44313,0.97
5,아/어/야/여/애,a/eo/ya/yeo/ae,e.,"ending, connective, final","CONNECTIVE, ADVERBIAL",이 책을 읽어 보세요. — Try to read this book.,42540,0.87
6,았/었/였,at/eot/yeot,s.,suffix,PAST TENSE,약속에 좀 늦었다. — We were late for an appointment.,41889,0.93
7,이다,ida,c.,copula,"COPULA, be",언니도 학생입니다. — My sister is also a student.,41409,0.87
8,에,e,p.case,particle (case),LOCATION,서연이는 아침 일찍 학교에 갔다. — Seoyeon went to school early in the morning.,35244,0.92
9,고,go,e.,"ending, connective, final","CONNECTIVE, ADVERBIAL",저는 먼저 이를 닦고 샤워합니다. — I first brush my teeth and then take a shower.,33011,0.87
10,의,ui,p.case,particle (case),POSSESSIVE,친구의 이름이 뭐예요? — What’s your friend’s name?,32439,0.98
11,다,da,e.,"ending, connective, final","FINAL, STATEMENT",마당에 꽃이 참 많다. — There are s. many flowers in the garden.,28750,0.96
12,는,neun,e.r.,relativizing ending,"RELATIVE, PRESENT",저기서 밥을 먹는 사람이 민준이예요. — The person who is eating over there is Minjun.,26943,0.93
13,것,geot,n.b.,noun (bound),"thing, way",민준이가 찾는 것이 뭡니까? — What is the thing that Minjun is looking for?,22071,0.86
14,하다,hada,v.,verb,do,어머니가 피아노 공연을 하고 계세요. — My mother is doing a piano recital.,20576,0.73
15,로/으로,ro/euro,p.case,particle (case),DIRECTION; INSTRUMENT; STATUS,"교실로 가려면 이쪽으로 가세요. — If you want to get to class, go this way.",20353,0.96
16,ㄹ/을,l/eul,e.r.,relativizing ending,"RELATIVE, FUTURE",난 점심을 먹고 커피를 마실 거예요. — I’ll eat lunch and drink coffee.,18893,0.93
17,도,do,p.sub.,subsidiary particle,"also, too","민지는 영화도 많이 본다. — Minji watches movies a lot, too.",13647,0.93
18,게,ge,e.,"ending, connective, final","CONNECTIVE, ADVERBIAL",된장찌개 끓이게 두부 좀 사 오세요. — Go and buy some tofu to make bean paste soup.,12947,0.85
19,들,deul,s.,suffix,PLURAL,고등학생들은 일찍 등교하거든. — The high school students go to school early.,12733,0.96
20,그,geu,adn.,adnominal,that,그 사람 이름이 어떻게 돼요? — What is that person’s name?,12636,0.62
21,있다,itda,a.,adjective,exist; have,기숙사 지하에 세탁기가 있어. — There is a laundry machine in the basement of the dormitory.,12460,0.85
22,에서,eseo,p.case,particle (case),"LOCATION, in, on, at",사람들이 운동장에서 조깅을 한다. — People jog in the playground.,11752,0.94
23,아서/어서/여서,aseo/eoseo/yeoseo,e.,"ending, connective, final","CONNECTIVE, because, since",오늘은 너무 바빠서 영화를 볼 수 없어요. — I can’t watch movies since I am s. busy.,10869,0.69
24,아/어/야/여/애,a/eo/ya/yeo/ae,e.,"ending, connective, final",FINAL,온 가족이 식탁에 앉아서 저녁을 먹어. — The whole family sits at the table and eats dinner.,9658,0.37
25,지,ji,e.,"ending, connective, final","CONNECTIVE, ADVERBIAL",다음 주에는 학교에 가지 않아. — I’m not going to school next week.,9514,0.89
26,있다,itda,aux.,auxiliary predicate,PRESENT PROGRESSIVE,나는 TV를 보고 있다. — I’m watching TV.,9247,0.99
27,되다,doeda,v.,verb,become,서연이는 나중에 의사가 되고 싶대. — Seoyeon says she wants to be a doctor someday.,9140,0.79
28,ㄴ다/는다,nda/neunda,e.,"ending, connective, final","FINAL, VERBAL PRESENT","휴가 때, 지훈이는 여자 친구와 제주도에 간다. — Jihun goes to Jeju island with his girlfriend during his vacations.",8675,0.91
29,면/으면,myeon/eumyeon,e.,"ending, connective, final","CONNECTIVE, CONDITION, if","목이 마르면 물을 마셔라. — If you are thirsty, drink water.",7388,0.77
30,ㅂ니다/습니다,pnida/seumnida,e.,"ending, connective, final",FINAL (POLITE),할머니께서 곧 집에 오십니다. — Grandmother comes home soon.,7247,0.65
31,가다,gada,v.,verb,go,이제 짐을 싸서 서울로 갑시다. — Let’s pack and go to Seoul now.,7111,0.5
32,기,gi,e.n.,nominalizing ending,"GERUND, ~ing",산에 가기가 힘드시나요? — Is it difficult for you to go to the mountains?,7097,0.97
33,와/과,wa/gwa,p.conj.,particle (conjunction),and,어머니와 아버지가 여행을 가셨다. — My mother and father went on a trip.,6891,0.96
34,나,na,pron.,pronoun,I,나는 내가 어떤 사람인지를 모르겠어. — I don’t know what kind of person I am.,6791,0.76
